2020-12-08 14:22:00.7786 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 14:22:00.7786 - Error || Error:: 单击事件异常:: 元素解析为空异常 
2020-12-08 14:22:18.7622 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 14:22:18.7622 - Error || Error:: 单击事件异常:: 元素解析为空异常 
2020-12-08 14:22:33.9743 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 14:22:33.9743 - Error || Error:: 单击事件异常:: 元素解析为空异常 
2020-12-08 14:22:36.0158 - Error || Error:: 点击物理按键异常: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session/49404702-e038-46a5-ac6a-01480be67a7a/appium/device/press_keycode. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:22:38.1326 - Error || Error:: 原生 WebDriverWait 封装函数异常:: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session/49404702-e038-46a5-ac6a-01480be67a7a/timeouts. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:22:38.1326 - Error || Error:: 元素结构对象解析函数异常:: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session/49404702-e038-46a5-ac6a-01480be67a7a/timeouts. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:22:38.1326 - Error || Error:: 单击事件异常:: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session/49404702-e038-46a5-ac6a-01480be67a7a/timeouts. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:22:40.1896 - Error || Error:: 点击物理按键异常: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session/49404702-e038-46a5-ac6a-01480be67a7a/appium/device/press_keycode. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:23:05.2996 - Error || Error:: 安卓设备驱动启动失败: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:23:39.6673 - Error || Error:: 安卓设备驱动启动失败: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 14:24:16.7073 - Error || Error:: 安卓设备驱动启动失败: A exception with a null response was thrown sending an HTTP request to the remote WebDriver server for URL http://127.0.0.1:4723/wd/hub/session. The status of the exception was UnknownError, and the message was: 由于目标计算机积极拒绝，无法连接。 [::ffff:127.0.0.1]:4723 (127.0.0.1:4723) 
2020-12-08 15:11:24.4735 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 15:15:08.8865 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 15:18:24.6060 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 15:34:47.5496 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 15:39:28.7163 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 15:58:48.1091 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 15:58:48.1091 - Error || Error:: 输入内容异常:: 元素解析为空异常 
2020-12-08 15:58:50.3657 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 15:59:43.5707 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 15:59:43.5707 - Error || Error:: 输入内容异常:: 元素解析为空异常 
2020-12-08 15:59:45.7163 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 16:00:49.6136 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 16:00:49.6136 - Error || Error:: 输入内容异常:: 元素解析为空异常 
2020-12-08 16:11:08.2465 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 16:11:08.2465 - Error || Error:: 输入内容异常:: 元素解析为空异常 
2020-12-08 16:11:10.3266 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 16:14:15.6191 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 16:17:15.5023 - Error || Error:: 单击事件异常:: Cached elements 'By.xpath: //*[@text='Chrome']' do not exist in DOM anymore 
2020-12-08 16:23:16.1871 - Error || Error:: 元素结构对象解析函数异常:: 元素解析为空异常 
2020-12-08 16:23:16.1965 - Error || Error:: 单击事件异常:: 元素解析为空异常 
2020-12-08 17:01:05.0321 - Error || Error:: 原生 WebDriverWait 封装函数异常:: Timed out after 5 seconds 
2020-12-08 17:01:05.0321 - Error || Error:: 元素结构对象解析函数异常:: Timed out after 5 seconds 
2020-12-08 17:01:05.0321 - Error || Error:: 判断对象元素是否存在于当前可视页面异常:: Timed out after 5 seconds 
2020-12-08 17:01:05.0988 - Error || Error:: 点击物理按键异常: An unknown server-side error occurred while processing the command. Original error: Could not proxy command to remote server. Original error: Error: socket hang up 
2020-12-08 17:01:06.2473 - Error || Error:: 打开应用程序异常:: An unknown server-side error occurred while processing the command. Original error: Cannot start the 'com.android.calculator2' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: Error executing adbExec. Original error: 'Command 'D:\\android-sdk\\platform-tools\\adb.exe -P 5037 -s emulator-5554 shell am start -W -n com.android.calculator2/com.android.calculator2.Calculator -S' exited with code 20'; Stderr: 'cmd: Can't find service: activity'; Code: '20' 
2020-12-08 17:01:06.2473 - Error || Error:: 点击物理按键异常: An unknown server-side error occurred while processing the command. Original error: Could not proxy command to remote server. Original error: Error: socket hang up 
2020-12-08 17:01:07.9810 - Error || Error:: 打开应用程序异常:: An unknown server-side error occurred while processing the command. Original error: Cannot start the 'com.android.calculator2' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: Cannot start the 'com.android.calculator2' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: Activity name '.com.android.calculator2.Calculator' used to start the app doesn't exist or cannot be launched! Make sure it exists and is a launchable activity 
2020-12-08 17:01:07.9953 - Error || Error:: 点击物理按键异常: An unknown server-side error occurred while processing the command. Original error: Could not proxy command to remote server. Original error: Error: socket hang up 
2020-12-08 17:01:09.8644 - Error || Error:: 打开应用程序异常:: An unknown server-side error occurred while processing the command. Original error: Cannot start the 'com.android.calculator2' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: Cannot start the 'com.android.calculator2' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: Activity name '.com.android.calculator2.Calculator' used to start the app doesn't exist or cannot be launched! Make sure it exists and is a launchable activity 
2020-12-08 17:01:09.8840 - Error || Error:: 点击物理按键异常: An unknown server-side error occurred while processing the command. Original error: Could not proxy command to remote server. Original error: Error: socket hang up 
2020-12-08 17:05:54.7751 - Error || Error:: 打开应用程序异常:: An unknown server-side error occurred while processing the command. Original error: Cannot start the 'com.android.chrome' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: 'com.google.android.apps.chrome.Main' or 'com.android.chrome.com.google.android.apps.chrome.Main' never started. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting 
2020-12-08 17:07:52.4295 - Error || Error:: 打开应用程序异常:: An unknown server-side error occurred while processing the command. Original error: Cannot start the 'com.android.chrome' application. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting. Original error: 'com.google.android.apps.chrome.Main' or 'com.android.chrome.com.google.android.apps.chrome.Main' never started. Visit https://github.com/appium/appium/blob/master/docs/en/writing-running-appium/android/activity-startup.md for troubleshooting 
